guid,Title
207,Alder Creek Village
80,Angel Haven MHP
143,Auburn Hills Community
159,Azalea Gardens
194,Barlow Trail Estates
135,Bavarian Village
148,Birch Tree Mobile Village
164,Bryn Mawr Beach Marina
163,Bryn Mawr Property RV
242,Center Street
232,Clackamas River Community Cooperative
95,Columbia Heights
81,Creekside of Hillsboro
149,Cumberland II MHP
150,Driftwood Gardens
240,Edgewood Mobile Estates
206,Fox Chase
147,Franklin Pierce Estates
136,Gladstone MHP
243,Glandaj Estates
244,Glen Tualatin
86,Golden Rule MHP
93,Great Western MHP
130,Green Pastures Senior Coop
116,Green Tee Mobile Estates
144,Harvest Manor Estates
100,Hawthorne Acres
117,Hidden Meadows
151,Holly Tree MHP
87,Hoodcourse Acres
126,Horizon Homeowners Cooperative
101,Idle Wheels
167,Illahee Shores
97,Indian Bluffs
245,Indian Village Mobile Estates
102,Jefferson Mobile Acres
174,Killarney Woods MHP
103,King Road MHP
146,Lago de Plata Villa
212,Lakeshore Estates
104,Lakeside Estates
158,Laurel Oaks
191,Laurel Park Community
107,Madison Village
118,Midway Manor
98,Mobile Towne West
246,Mountain Shadows
161,Mountain View Estates
88,Mountain View Mobile Estates
152,Neawanna MHP
153,Neilson Mobile City
154,Nut Tree Ranch
231,Orchard MHP
175,Pantera Lago
106,Pine Ridge Park
145,Plantation MHP
89,Poplar Mobile Manor
160,Quail Run at Terrace Heights
173,Quiet Meadows
90,Ranchette Manor
230,Redwood Estates
110,River Road Mobile Estates
155,Riverside MHC
169,Riverside Mobile Estates
185,Riverstone MHP
168,Rocky Point
111,Rosewood Estates
112,Royal Oaks
198,Seminole Mobile Estates
208,Shorewood Estates
172,Silver Creek Meadows
171,Silverdale Estates
170,Skyway MHP
119,Southbrook MHP
235,Southwest Terrace
108,"Springlake Community, Inc."
204,Sundial MHP
114,Swedetown Village
91,Swiss Meadow Village
165,Tall Cedars
247,Tall Firs
239,Terrace Lake Park
83,Terri Lynne
79,The Meadow on Pitney Pond
141,Totem Pole Estates
180,Twin Firs
125,Union Gap West
211,Vida Lea Community Cooperative
124,Village Mobile Inn
123,Village Park
120,Welcome West MHP
237,Wildwood Mobile Home Park
122,Willo Vista Estates
84,Woodburn West Mobile Estates
